timestamp,pm25_0,pm25_1,pm25_2,pm25_3
1605374282,54,63,67,67
1605374283,54,64,67,67
1605374284,54,64,67,67
1605374285,54,65,66,67
1605374286,54,65,66,68
1605374287,54,66,66,68
1605374288,54,67,65,69
1605374289,54,67,65,69
1605374290,54,67,66,70
1605374291,54,67,66,70
1605374292,54,67,66,70
1605374293,54,67,66,70
1605374294,54,67,67,69
1605374295,53,66,67,69
1605374296,53,66,67,69
1605374297,53,65,68,69
1605374298,53,64,69,68
1605374299,53,64,69,67
1605374300,53,64,69,67
1605374301,53,64,70,66
1605374302,54,64,71,66
1605374303,54,64,71,66
1605374304,54,64,71,66
1605374305,54,64,72,67
1605374306,55,60,72,67
1605374307,55,59,72,67
1605374308,55,59,72,67
1605374309,55,59,71,67
1605374310,55,58,70,68
1605374311,55,58,70,68
1605374312,55,59,68,68
1605374313,55,59,68,68
1605374314,55,59,67,68
1605374315,55,59,66,68
1605374316,55,59,65,68
1605374317,55,59,65,68
1605374318,55,60,64,68
1605374319,55,60,64,68
1605374320,56,60,64,68
1605374321,56,59,64,68
1605374322,56,59,64,68
1605374323,57,59,65,69
1605374324,57,59,65,69
1605374325,58,59,65,69
1605374326,58,58,65,69
1605374327,58,58,66,69
1605374328,58,58,66,69
1605374329,58,58,67,69
1605374330,58,58,67,69
1605374331,58,58,67,69
1605374332,58,58,67,69
1605374333,57,58,68,68
1605374334,57,59,68,68
1605374335,56,59,69,68
1605374336,56,60,69,68
1605374337,56,61,70,69
1605374338,55,61,70,69
1605374339,55,62,70,69
1605374340,55,63,70,70
1605374341,54,63,70,70
1605374342,54,64,71,71
1605374343,53,64,71,71
1605374344,53,64,71,71
1605374345,53,64,72,72
1605374346,53,65,72,72
1605374347,52,65,72,72
1605374348,52,65,72,72
1605374349,52,65,73,71
1605374350,52,65,73,70
1605374351,52,65,72,70
1605374352,52,65,72,69
1605374353,52,65,72,69
1605374354,52,64,72,68
1605374355,52,64,71,68
1605374356,52,63,71,68
1605374357,53,62,71,68
1605374358,53,62,70,68
1605374359,53,62,70,69
1605374360,53,62,71,70
1605374361,53,62,71,70
1605374362,53,62,71,71
1605374363,53,63,72,71
1605374364,53,63,72,71
1605374365,53,64,72,72
1605374366,53,64,72,72
1605374367,53,65,72,72
1605374368,53,66,72,72
1605374369,53,66,72,72
1605374370,53,65,72,71
1605374371,54,65,72,71
1605374372,54,64,72,71
1605374373,54,63,71,71
1605374374,54,63,71,71
1605374375,55,62,70,70
1605374376,55,61,70,70
1605374377,55,60,70,70
1605374378,55,60,70,70
1605374379,55,59,70,70
1605374380,55,59,70,70
1605374381,54,60,70,70
1605374382,54,60,70,71
1605374383,54,61,70,71
1605374384,53,61,70,71
1605374385,53,61,70,71
1605374386,52,61,70,71
1605374387,52,62,70,71
1605374388,52,63,70,71
1605374389,52,63,70,71
1605374390,51,63,69,71
1605374391,51,63,69,71
1605374392,51,63,69,71
1605374393,51,62,69,71
1605374394,51,62,69,70
1605374395,51,62,70,70
1605374396,51,62,70,70
1605374397,52,61,71,70
1605374398,52,61,71,70
1605374399,52,61,72,70
1605374400,52,61,72,69
1605374401,53,61,72,69
1605374402,52,61,73,69
1605374403,52,62,73,69
1605374404,52,62,73,69
1605374405,52,62,73,69
1605374406,52,63,73,68
1605374407,52,63,72,68
1605374408,52,64,72,68
1605374409,52,64,72,68
1605374410,53,64,72,68
1605374411,53,64,72,68
1605374412,54,64,73,68
1605374413,54,64,73,68
1605374414,55,63,73,68
1605374415,56,63,73,68
1605374416,56,63,73,68
